Entry Name,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
IF5A1_YEAST,11,4,4
GYS1_YEAST,1,1,3
PRP28_YEAST,2,6,6
NAR1_YEAST,1,3,4
AATC_YEAST,5,3,2
STE11_YEAST,10,6,1
HXT2_YEAST,2,5,3
PP2A1_YEAST,6,3,5
PP2A2_YEAST,8,3,6
SPT6_YEAST,17,4,4
PSA3_YEAST,3,0,5
PSA2_YEAST,2,0,4
VAN1_YEAST,4,1,2
VPS3_YEAST,7,0,5
TOM40_YEAST,3,2,6
PSB6_YEAST,2,0,4
EXG1_YEAST,3,1,4
FPS1_YEAST,7,3,4
VATO_YEAST,4,2,6
PEX1_YEAST,3,3,4
SSD1_YEAST,6,5,6
MCM3_YEAST,9,7,10
SEC14_YEAST,8,2,4
DBR1_YEAST,6,5,2
PRP22_YEAST,2,4,3
DPB2_YEAST,3,1,4
KPC1_YEAST,11,5,8
DBP2_YEAST,5,6,4
DBP1_YEAST,2,7,2
AP2_YEAST,3,2,3
GRR1_YEAST,10,2,5
PCL1_YEAST,8,2,5
CG21_YEAST,8,1,4
CG22_YEAST,8,1,6
CG23_YEAST,7,1,4
UBP1_YEAST,2,1,5
ROX1_YEAST,6,7,2
PSB2_YEAST,2,2,5
PTP1_YEAST,3,1,2
SPTC1_YEAST,4,2,3
MED19_YEAST,7,2,3
ERG6_YEAST,2,2,4
NAP1_YEAST,10,7,6
SIS1_YEAST,10,4,4
CANB_YEAST,7,3,1
PHO84_YEAST,4,3,3
RNA14_YEAST,4,1,5
RNA15_YEAST,2,2,3
BUD5_YEAST,3,1,4
RAD57_YEAST,9,7,1
SWI4_YEAST,4,3,4
SCJ1_YEAST,5,4,3
HAL4_YEAST,6,5,2
MSH3_YEAST,6,5,4
ERG4_YEAST,1,2,2
KIN82_YEAST,3,5,3
CDC10_YEAST,8,7,15
RV161_YEAST,10,1,8
STE50_YEAST,6,2,1
GIT1_YEAST,3,2,3
