Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
EXOS5_HUMAN,11,3,10
BDF2_YEAST,4,5,4
COX8_YEAST,2,1,3
BSH_HUMAN,5,3,3
HPLN2_HUMAN,7,1,5
GRWD1_HUMAN,4,4,6
KANL2_HUMAN,2,0,7
SNX20_HUMAN,1,3,3
MSS2_YEAST,1,0,2
AIMP1_HUMAN,9,4,8
IRC5_YEAST,2,6,1
YK165_YEAST,0,0,1
UBR5_HUMAN,18,5,8
MYH1_HUMAN,1,4,7
DERM_HUMAN,3,1,2
GBA2_HUMAN,12,5,6
SL9C1_HUMAN,6,3,2
SYYM_YEAST,2,3,3
YP216_YEAST,1,0,3
TBC19_HUMAN,0,1,0
EIFCL_HUMAN,2,3,3
LIPG_HUMAN,12,7,5
OR2H2_HUMAN,3,2,1
FB5L3_HUMAN,1,1,2
YOR50_YEAST,0,0,0
CEP55_HUMAN,5,1,8
ERD22_HUMAN,5,2,7
PIGA_HUMAN,3,2,3
G6PD_YEAST,4,2,2
LIPR3_HUMAN,1,1,1
RAB26_HUMAN,5,3,6
SSX9_HUMAN,1,0,1
CDKL1_HUMAN,2,4,6
NKX23_HUMAN,19,3,2
DNJB3_HUMAN,1,2,0
PKHH1_HUMAN,0,0,1
GLT16_HUMAN,3,3,2
EIF3F_HUMAN,4,5,7
O5AU1_HUMAN,0,3,1
PRS57_HUMAN,1,3,2
YL111_YEAST,0,0,1
UBXN4_HUMAN,2,0,4
GIT2_HUMAN,4,3,4
ZN543_HUMAN,1,3,1
AGRE1_HUMAN,5,2,2
ZN583_HUMAN,1,3,1
NOB1_YEAST,4,3,5
NTM1B_HUMAN,1,1,2
BAGE2_HUMAN,0,0,1
TCPB_YEAST,2,4,2
KIN82_YEAST,3,5,3
K0040_HUMAN,0,0,1
RNH2C_YEAST,2,0,3
CP20A_HUMAN,0,4,1
KIRR1_HUMAN,5,2,6
CENPT_HUMAN,5,2,7
GAPD1_HUMAN,2,5,4
ADAT1_HUMAN,1,4,0
GPN3_HUMAN,0,2,1
KPYR_HUMAN,11,6,4
YL57E_YEAST,0,0,0
DUX1_HUMAN,2,3,1
ARE2_YEAST,1,1,2
SE1L3_HUMAN,0,0,1
PCGF2_HUMAN,8,3,7
PEX2_YEAST,6,3,3
KAT3_HUMAN,5,6,2
APQ13_YEAST,0,0,0
PRGR_HUMAN,16,15,5
RIB2_YEAST,3,5,1
RS28B_YEAST,5,1,2
CA094_HUMAN,0,0,0
IWR1_YEAST,2,0,2
SIR4_YEAST,7,3,2
DEDD_HUMAN,6,1,2
AP2M_YEAST,2,1,3
HNRL1_HUMAN,2,2,4
CACO1_HUMAN,6,9,4
KIFC3_HUMAN,6,4,9
RRP42_YEAST,12,1,5
NEUM_HUMAN,12,4,9
EIF3C_HUMAN,4,4,4
IMDH3_YEAST,2,5,2
T22D4_HUMAN,6,0,4
TEX46_HUMAN,0,0,0
GSM1_YEAST,3,5,1
NSG1_YEAST,1,1,5
PHGR1_HUMAN,0,0,0
H31_HUMAN,5,4,7
YEY8_YEAST,1,1,0
CC163_HUMAN,0,0,1
YHY2_YEAST,2,1,4
SPKAP_HUMAN,0,1,2
LARGN_HUMAN,2,0,0
MED4_HUMAN,6,5,5
DDIT3_HUMAN,48,15,11
ZNT6_HUMAN,3,2,2
ERFE_HUMAN,13,2,2
FEV_HUMAN,5,4,3
NACB1_YEAST,5,1,4
RAD55_YEAST,7,4,3
VACHT_HUMAN,7,3,7
RAS2_YEAST,10,4,5
ERF3B_HUMAN,3,4,2
O13A1_HUMAN,0,3,1
TFKLN_HUMAN,1,1,1
SP1_HUMAN,18,19,7
DDX47_HUMAN,4,4,4
U17LM_HUMAN,3,1,3
CELR2_HUMAN,15,2,3
KRA55_HUMAN,0,0,2
F16P2_HUMAN,5,3,7
UBP4_YEAST,9,1,5
SELPL_HUMAN,5,2,4
MTEF3_HUMAN,3,1,3
ABHD3_HUMAN,4,6,1
YG4D_YEAST,1,0,2
VAMP3_HUMAN,14,2,18
SORC3_HUMAN,5,1,3
TMCC2_HUMAN,1,0,3
BAP2_YEAST,4,2,3
PDCD6_HUMAN,18,10,13
SLAF5_HUMAN,15,1,3
UCK1_HUMAN,3,3,2
ETT1_YEAST,3,0,1
TYRO3_HUMAN,29,5,6
LCE7A_HUMAN,1,0,0
FMC1_YEAST,2,0,2
GSH0_HUMAN,21,4,2
SEHL2_HUMAN,0,1,2
PLSC_YEAST,3,3,3
SNX11_HUMAN,2,1,3
3HIDH_HUMAN,1,3,2
FA2H_HUMAN,15,5,3
MTG8R_HUMAN,7,2,2
LYSM4_HUMAN,0,0,1
FDC1_YEAST,3,2,1
SRSF8_HUMAN,1,1,3
AATM_HUMAN,11,4,4
CSF2R_HUMAN,4,3,5
ATIF_YEAST,1,3,1
NNMT_HUMAN,7,2,1
LSM4_HUMAN,5,3,11
SYF1_YEAST,2,0,8
PLPP_HUMAN,9,6,8
TRIML_HUMAN,3,2,1
YL379_YEAST,0,0,1
YD87C_YEAST,0,0,1
STPG1_HUMAN,2,0,2
YM094_YEAST,0,0,0
RBG1L_HUMAN,3,2,3
RIX7_YEAST,3,3,3
ABTB1_HUMAN,0,1,5
BIN2_HUMAN,4,1,9
1433G_HUMAN,14,9,7
HSP74_YEAST,4,6,4
PRIC1_HUMAN,47,2,7
S31A5_HUMAN,2,0,1
GP141_HUMAN,0,2,1
DOA_HUMAN,7,3,4
WNT2_HUMAN,27,3,5
RMC1_HUMAN,2,0,3
CARD6_HUMAN,2,0,0
KR133_HUMAN,0,0,2
T225B_HUMAN,1,0,1
CMR3_YEAST,0,3,1
CCD54_HUMAN,0,0,0
PCDGG_HUMAN,4,1,2
ALAT1_HUMAN,5,2,2
KCNA1_HUMAN,22,5,22
