Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
KIF3B_HUMAN,13,7,17
PUR4_HUMAN,9,3,3
MCF2L_HUMAN,3,2,7
ATS3_HUMAN,9,4,4
DCLK1_HUMAN,15,4,3
CE290_HUMAN,14,1,14
SNPH_HUMAN,3,1,6
ERC2_HUMAN,6,1,6
ANR28_HUMAN,0,0,2
ARHGB_HUMAN,8,3,4
MRPP3_HUMAN,2,2,5
SMAD7_HUMAN,38,10,10
IKKA_HUMAN,24,9,6
LSM1_HUMAN,8,3,9
FYB1_HUMAN,4,3,6
NPC1_HUMAN,30,5,12
TBX3_HUMAN,54,7,4
PLCB_HUMAN,8,1,4
DEGS1_HUMAN,4,3,7
ANGP2_HUMAN,20,4,4
SCAM1_HUMAN,5,1,9
SCAM2_HUMAN,2,0,6
NPFF_HUMAN,3,4,6
IMA6_HUMAN,2,2,4
ARC1B_HUMAN,3,3,7
ARPC2_HUMAN,6,2,15
ARPC3_HUMAN,5,2,11
MUSK_HUMAN,12,5,4
MDM4_HUMAN,16,3,3
BET1_HUMAN,3,1,8
ZBT7B_HUMAN,19,8,1
RPAC1_HUMAN,1,5,7
PLS1_HUMAN,18,14,12
TIF1A_HUMAN,14,10,8
LRAD4_HUMAN,4,1,4
AXIN1_HUMAN,30,14,13
PGRC2_HUMAN,1,4,7
TBXT_HUMAN,13,5,3
CETN3_HUMAN,5,3,9
CTDSL_HUMAN,1,3,2
VILL_HUMAN,3,3,2
EPHB6_HUMAN,3,4,4
SMAD9_HUMAN,8,5,7
ADEC1_HUMAN,3,2,2
UBD_HUMAN,11,1,6
ZBT22_HUMAN,1,5,2
RGL2_HUMAN,4,1,1
PFD6_HUMAN,5,3,4
WDR46_HUMAN,2,1,3
GSTA4_HUMAN,2,3,1
NKRF_HUMAN,2,4,3
GNPAT_HUMAN,13,2,6
KMO_HUMAN,12,4,4
LAMA5_HUMAN,20,1,13
ZN185_HUMAN,0,1,3
MATN3_HUMAN,3,2,5
CASC3_HUMAN,6,5,10
NDUA1_HUMAN,4,1,4
VGF_HUMAN,14,3,8
OBRG_HUMAN,5,1,4
S22A2_HUMAN,31,18,7
S22A1_HUMAN,25,17,7
CLIC2_HUMAN,6,2,7
ACOX3_HUMAN,2,4,4
RER1_HUMAN,4,1,6
NPHP1_HUMAN,9,1,10
SURF4_HUMAN,8,2,13
DFB4A_HUMAN,11,3,3
MK13_HUMAN,12,4,3
ATX7_HUMAN,8,0,8
SHOX_HUMAN,3,4,4
SPTC1_HUMAN,8,2,3
SPTC2_HUMAN,7,2,2
TELT_HUMAN,18,8,3
FANCG_HUMAN,7,1,7
OGT1_HUMAN,35,4,12
LX15B_HUMAN,21,7,8
PPM1D_HUMAN,11,5,4
GRM6_HUMAN,10,4,6
SIVA_HUMAN,5,5,3
PMM2_HUMAN,8,2,3
RA51B_HUMAN,8,7,4
RPC7_HUMAN,7,2,5
INP4B_HUMAN,4,3,2
VA0E1_HUMAN,4,2,4
TRI18_HUMAN,6,8,7
HMGB3_HUMAN,4,4,3
P73_HUMAN,20,13,7
FOXN1_HUMAN,15,3,2
GPR37_HUMAN,9,10,9
PPM1G_HUMAN,3,3,4
SHIP2_HUMAN,22,5,8
FANCA_HUMAN,10,0,6
SOX12_HUMAN,6,6,4
EIF3D_HUMAN,7,3,7
EIF3H_HUMAN,4,4,7
MOT5_HUMAN,1,2,2
HDAC3_HUMAN,29,14,10
NVL_HUMAN,7,4,5
BCAT2_HUMAN,7,5,3
SIGL5_HUMAN,1,2,4
TYY2_HUMAN,2,7,4
BIRC5_HUMAN,23,13,18
TMPS2_HUMAN,4,2,4
NCAM2_HUMAN,2,1,5
IPO8_HUMAN,2,1,3
NMDE4_HUMAN,17,7,8
STX7_HUMAN,8,4,18
TOX3_HUMAN,5,5,3
FOXP2_HUMAN,5,9,2
MOT4_HUMAN,4,4,6
COPT1_HUMAN,10,5,7
COPT2_HUMAN,4,1,4
MRP3_HUMAN,7,11,4
MRP4_HUMAN,13,16,8
MRP5_HUMAN,13,13,6
CCL25_HUMAN,12,5,2
RPA34_HUMAN,3,1,8
TLR3_HUMAN,46,6,11
MSH4_HUMAN,6,5,4
P4HA2_HUMAN,0,4,5
SIA8E_HUMAN,5,2,1
CCL16_HUMAN,8,3,2
MAGB2_HUMAN,1,0,1
MAGB4_HUMAN,1,0,2
CAN5_HUMAN,2,1,5
GLYG2_HUMAN,1,3,2
RGS16_HUMAN,5,3,3
PA2GX_HUMAN,34,6,4
YKT6_HUMAN,5,3,15
GSC2_HUMAN,2,6,2
INSI1_HUMAN,16,2,3
NUP42_HUMAN,3,3,6
ARPC5_HUMAN,4,2,12
RPB4_HUMAN,2,2,5
CLOCK_HUMAN,22,11,8
CFLAR_HUMAN,36,6,5
FGF10_HUMAN,106,5,6
NKX28_HUMAN,10,7,2
DDX3Y_HUMAN,3,5,5
SOCS1_HUMAN,16,5,6
MAFG_HUMAN,7,6,3
OGG1_HUMAN,20,10,8
CP27B_HUMAN,20,4,3
GPR42_HUMAN,1,1,1
PDPK1_HUMAN,32,7,8
TPSN_HUMAN,8,9,8
PER1_HUMAN,19,8,4
ZSC9_HUMAN,1,4,1
XLRS1_HUMAN,5,3,5
FABP7_HUMAN,4,2,2
R113A_HUMAN,5,2,5
P2RX6_HUMAN,4,6,9
KDM6A_HUMAN,2,5,4
CLD3_HUMAN,25,3,9
FFAR2_HUMAN,18,2,2
MEFV_HUMAN,19,4,11
KCNN4_HUMAN,16,7,7
ENK18_HUMAN,0,1,1
DHX15_HUMAN,9,7,6
SGSM2_HUMAN,2,2,2
MCES_HUMAN,2,2,6
ZZEF1_HUMAN,0,5,0
ASAP2_HUMAN,1,2,3
TET3_HUMAN,6,4,5
FLRT2_HUMAN,8,3,11
TTI1_HUMAN,3,0,5
PLXB1_HUMAN,15,5,5
RRP8_HUMAN,10,3,7
PJA2_HUMAN,10,5,10
SI1L1_HUMAN,8,2,5
ZBT24_HUMAN,2,3,1
CYB5B_HUMAN,3,3,5
PRP4_HUMAN,4,2,9
SIA8C_HUMAN,7,3,1
CP26A_HUMAN,9,9,1
SERA_HUMAN,13,4,2
NDUS4_HUMAN,8,1,3
RHG06_HUMAN,8,4,4
ADA12_HUMAN,4,4,3
CRX_HUMAN,7,10,3
IRAK2_HUMAN,14,6,5
PHF1_HUMAN,2,7,5
MTLR_HUMAN,1,2,2
GPR39_HUMAN,1,2,1
MSH5_HUMAN,2,4,1
SEPT4_HUMAN,12,6,16
DC1L2_HUMAN,4,3,8
PSMD3_HUMAN,3,1,11
HXC11_HUMAN,9,4,4
RFOX2_HUMAN,8,4,3
PAPS1_HUMAN,4,5,1
SIAH2_HUMAN,14,5,6
ZNHI1_HUMAN,9,3,4
ZW10_HUMAN,14,1,11
PROD_HUMAN,6,2,5
SPIT1_HUMAN,10,1,6
TREA_HUMAN,3,1,4
EFS_HUMAN,4,2,2
M3K13_HUMAN,11,12,2
B4GT5_HUMAN,12,4,3
SNUT1_HUMAN,5,1,10
SPIT2_HUMAN,9,2,4
GPAA1_HUMAN,3,1,7
DAPK3_HUMAN,21,9,5
TGFI1_HUMAN,12,5,5
SRGP3_HUMAN,3,1,3
ZN264_HUMAN,1,3,1
ZBT43_HUMAN,1,5,2
AP5Z1_HUMAN,11,0,8
LRRT2_HUMAN,5,1,8
CP110_HUMAN,7,0,5
ADCY6_HUMAN,13,5,4
ARHG9_HUMAN,2,1,4
ZSC12_HUMAN,1,3,1
CTIF_HUMAN,2,2,2
MTSS1_HUMAN,13,5,5
ATMIN_HUMAN,7,5,2
VIP2_HUMAN,5,7,1
AQP9_HUMAN,9,6,3
PAX4_HUMAN,3,4,2
M3K7_HUMAN,38,17,7
FGF16_HUMAN,11,2,3
DHH_HUMAN,15,5,4
MCA3_HUMAN,7,0,6
RIPK2_HUMAN,60,13,7
HXA2_HUMAN,17,4,3
HXA3_HUMAN,15,3,3
RASL2_HUMAN,4,3,2
WDR62_HUMAN,8,0,7
HNRPR_HUMAN,2,2,6
PRPF3_HUMAN,5,2,8
TXNL1_HUMAN,0,2,4
TPD54_HUMAN,2,2,2
EMC8_HUMAN,2,0,6
COCH_HUMAN,2,1,2
P52K_HUMAN,2,3,1
GRID2_HUMAN,16,5,7
SYNJ1_HUMAN,12,10,8
FIBP_HUMAN,2,1,5
IF4G3_HUMAN,4,5,3
TBX1_HUMAN,60,7,2
MTG8R_HUMAN,7,2,2
PPIH_HUMAN,5,3,8
KCAB3_HUMAN,2,4,3
MGA_HUMAN,3,5,5
MBTP2_HUMAN,11,3,3
SUV91_HUMAN,15,8,12
HTRA2_HUMAN,32,7,13
KLF4_HUMAN,49,14,6
MS18B_HUMAN,4,2,8
ARK72_HUMAN,5,4,5
PROM1_HUMAN,7,3,14
E41L2_HUMAN,4,4,9
TGON2_HUMAN,0,0,9
CAC1G_HUMAN,16,6,4
RA51C_HUMAN,11,4,11
LTOR5_HUMAN,15,0,7
B4GA1_HUMAN,3,3,3
ADA20_HUMAN,3,3,3
TNF12_HUMAN,11,4,4
