Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
GRB1L_MOUSE,9,0,1
B9EK83_MOUSE,1,23,1
TMF1_MOUSE,18,3,4
PTPRZ_MOUSE,9,6,5
B9EKY4_MOUSE,2,19,3
SMK3A_MOUSE,0,22,0
SMK3B_MOUSE,0,22,0
H2A1B_MOUSE,2,3,3
H2A1C_MOUSE,0,3,2
H2A1D_MOUSE,0,3,2
H2A1E_MOUSE,0,3,2
H2A1G_MOUSE,0,3,2
H2A1I_MOUSE,0,3,2
H2A1N_MOUSE,0,3,2
H2A1O_MOUSE,0,3,2
H2A1P_MOUSE,0,3,2
IMA8_MOUSE,5,1,6
ZAR1L_MOUSE,2,2,3
NLRC5_MOUSE,9,2,3
CTSG2_MOUSE,2,0,3
C9K101_MOUSE,0,22,2
ACE3_MOUSE,1,3,2
MNDAL_MOUSE,3,0,1
HSF3_MOUSE,2,3,2
ZBED6_MOUSE,5,4,5
CJ090_MOUSE,8,2,2
ASMT_MOUSE,5,1,0
D3YU89_MOUSE,4,28,1
BTBD8_MOUSE,2,0,6
CCYL1_MOUSE,5,1,2
AKAP5_MOUSE,13,4,9
CFA70_MOUSE,13,0,6
D3YWH8_MOUSE,17,2,9
EFMT3_MOUSE,1,4,5
DGKI_MOUSE,10,5,18
D3YX12_MOUSE,1,1,2
HMCN1_MOUSE,4,1,8
DGKH_MOUSE,4,4,4
SAMD1_MOUSE,6,3,3
SAFB1_MOUSE,4,3,1
RN217_MOUSE,1,2,2
WDR72_MOUSE,17,0,2
D3YYN8_MOUSE,1,23,2
D3YZ49_MOUSE,0,2,0
SHAN1_MOUSE,19,9,10
FOXI3_MOUSE,7,2,1
MRAP2_MOUSE,7,7,2
D3Z1U0_MOUSE,1,23,1
CAHM1_MOUSE,10,5,4
SELN_MOUSE,30,2,5
CIP1_MOUSE,5,4,2
R212B_MOUSE,3,3,1
RBM24_MOUSE,17,5,3
HFM1_MOUSE,3,12,0
D3Z4R4_MOUSE,15,5,1
S18B1_MOUSE,3,2,2
D3Z5M8_MOUSE,2,17,3
TET5A_MOUSE,4,1,1
KCNT2_MOUSE,2,3,1
PDIA2_MOUSE,1,3,1
